rest_key,rest_coop,reporting_day,daypart_name,daypart_description,daypart_sales,daypart_transaction_qty,Weekday
1364,SEA/TCA WA CP-0024,2011-01-19,DINNER,4PM - 9PM,1229.11,201,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-19,EVENING,9PM - Close,195.95,38,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-19,LATE NIGHT,11PM - 5AM,0.0,0,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-19,LUNCH,11AM -  2PM,1053.68,188,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-19,MORNING,Open - 11AM,801.47,218,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-19,REGULAR MENU,10:30AM (11AM weekend) - Close,2878.61,517,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-19,TOTAL DAY,All hours,3629.84,723,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-20,AFTER 4PM,4PM - Close,1969.06,298,Thursday
1364,SEA/TCA WA CP-0024,2011-01-20,AFTERNOON,2PM - 4PM,573.26,109,Thursday
1364,SEA/TCA WA CP-0024,2011-01-20,BREAKFAST,Open - 10:30AM (11AM weekend),863.76,203,Thursday
1364,SEA/TCA WA CP-0024,2011-01-20,DINNER,4PM - 9PM,1644.58,252,Thursday
1364,SEA/TCA WA CP-0024,2011-01-20,EVENING,9PM - Close,324.48,46,Thursday
1364,SEA/TCA WA CP-0024,2011-01-20,LATE NIGHT,11PM - 5AM,0.0,0,Thursday
1364,SEA/TCA WA CP-0024,2011-01-20,LUNCH,11AM -  2PM,1066.9,203,Thursday
1364,SEA/TCA WA CP-0024,2011-01-20,MORNING,Open - 11AM,927.07,216,Thursday
1364,SEA/TCA WA CP-0024,2011-01-20,REGULAR MENU,10:30AM (11AM weekend) - Close,3672.53,623,Thursday
1364,SEA/TCA WA CP-0024,2011-01-20,TOTAL DAY,All hours,4536.29,826,Thursday
1364,SEA/TCA WA CP-0024,2011-01-21,AFTER 4PM,4PM - Close,2108.98,328,Friday
1364,SEA/TCA WA CP-0024,2011-01-21,AFTERNOON,2PM - 4PM,470.35,94,Friday
1364,SEA/TCA WA CP-0024,2011-01-21,BREAKFAST,Open - 10:30AM (11AM weekend),931.56,212,Friday
1364,SEA/TCA WA CP-0024,2011-01-21,DINNER,4PM - 9PM,1640.37,250,Friday
1364,SEA/TCA WA CP-0024,2011-01-21,EVENING,9PM - Close,468.61,78,Friday
1364,SEA/TCA WA CP-0024,2011-01-21,LATE NIGHT,11PM - 5AM,96.72,16,Friday
1364,SEA/TCA WA CP-0024,2011-01-21,LUNCH,11AM -  2PM,1003.99,177,Friday
1364,SEA/TCA WA CP-0024,2011-01-21,MORNING,Open - 11AM,1016.71,228,Friday
1364,SEA/TCA WA CP-0024,2011-01-21,REGULAR MENU,10:30AM (11AM weekend) - Close,3668.47,615,Friday
1364,SEA/TCA WA CP-0024,2011-01-21,TOTAL DAY,All hours,4600.03,827,Friday
1364,SEA/TCA WA CP-0024,2011-01-22,AFTER 4PM,4PM - Close,1557.73,258,Saturday
1364,SEA/TCA WA CP-0024,2011-01-22,AFTERNOON,2PM - 4PM,638.57,114,Saturday
1364,SEA/TCA WA CP-0024,2011-01-22,BREAKFAST,Open - 10:30AM (11AM weekend),1296.18,235,Saturday
1364,SEA/TCA WA CP-0024,2011-01-22,DINNER,4PM - 9PM,1147.57,187,Saturday
1364,SEA/TCA WA CP-0024,2011-01-22,EVENING,9PM - Close,410.16,71,Saturday
1364,SEA/TCA WA CP-0024,2011-01-22,LATE NIGHT,11PM - 5AM,119.46,22,Saturday
1364,SEA/TCA WA CP-0024,2011-01-22,LUNCH,11AM -  2PM,1092.3,183,Saturday
1364,SEA/TCA WA CP-0024,2011-01-22,MORNING,Open - 11AM,1296.18,235,Saturday
